HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
019-198701-004,31,56.65417,-160.3707,57,1987,70.692985
019-198701-005,31,56.97467,-160.334,60,1987,20.46123
019-198701-006,31,57.316,-160.2713,59,1987,23.501708
019-198701-007,31,57.659,-160.253,53,1987,73.875303
019-198701-008,10,57.97667,-160.2082,49,1987,44.852301
019-198701-010,10,58.1605,-160.4647,38,1987,2.468862
019-198701-011,10,58.19017,-161.5115,48,1987,24.176713
019-198701-012,10,57.977,-161.4712,51,1987,225.836233
019-198701-013,10,57.67867,-161.4967,51,1987,286.152614
019-198701-014,31,57.36133,-161.5298,55,1987,12.520961
019-198701-015,31,57.00867,-161.5532,68,1987,42.620391
019-198701-016,31,56.69317,-161.5698,88,1987,42.190028
019-198701-017,10,56.34583,-161.6173,68,1987,44.838497
019-198701-018,10,55.671,-162.8033,53,1987,30.746766
019-198701-019,31,55.98483,-162.8128,80,1987,66.124079
019-198701-020,31,56.32617,-162.7985,79,1987,94.664695
019-198701-021,31,56.68,-162.7468,71,1987,24.160654
019-198701-022,31,56.97717,-162.7885,60,1987,3.172212
019-198701-024,10,57.34183,-162.7838,48,1987,142.418213
019-198701-025,10,57.66167,-162.7487,42,1987,39.734716
019-198701-026,10,57.98083,-162.7522,40,1987,27.898357
019-198701-027,10,58.30667,-162.7225,29,1987,11.146902
019-198701-028,10,58.65,-163.9627,33,1987,4.062886
019-198701-029,10,58.3385,-163.9575,40,1987,3.199495
019-198701-082,20,59.646,-167.9463,35,1987,23.178618
019-198701-030,10,58.0205,-164.0033,44,1987,7.376179
019-198701-083,20,59.87767,-167.9825,27,1987,11.553419
019-198701-031,10,57.68433,-164.0148,48,1987,8.87088
019-198701-032,31,57.35833,-163.9907,60,1987,4.078406
019-198701-084,20,60.31283,-168.0058,29,1987,2.622002
019-198701-033,31,57.01883,-163.9887,68,1987,2.151412
019-198701-085,20,60.33617,-169.2993,40,1987,2.979075
019-198701-034,31,56.6825,-163.9985,75,1987,44.542128
019-198701-086,20,60.017,-169.3227,44,1987,3.320517
019-198701-035,31,56.35983,-164.0007,84,1987,4.895084
019-198701-087,20,59.69,-169.3158,46,1987,12.330102
019-198701-036,31,56.023,-164.006,90,1987,20.264617
019-198701-088,20,59.345,-169.2485,49,1987,17.316038
019-198701-037,31,55.68333,-164.0192,95,1987,192.668001
019-198701-089,41,59.022,-169.1917,53,1987,62.963384
019-198701-038,31,55.38783,-163.9807,88,1987,107.872832
019-198701-090,41,58.67517,-169.1158,60,1987,17.516952
019-198701-039,31,54.70317,-165.0873,77,1987,800.583832
